Name,Rating,Profile,Address,Reviews,Salary,Jobs,Benefits,Photos
Sodexo,4.0,Facility Management Services,Mumbai +152 other locations,3.4k,9.7k,1.3k,375,15
Samvardhana Motherson Group,3.7,Auto Components,Noida +90 other locations,3.4k,12.1k,20,403,5
Escorts Kubota Limited,4.1,Automobile,Faridabad +145 other locations,3.4k,12.9k,--,255,23
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances,Mumbai +156 other locations,3.4k,14.7k,63,412,3
Synechron,3.5,IT Services & Consulting,Pune +31 other locations,3.4k,27.1k,55,237,10
Birlasoft,3.5,IT Services & Consulting,Pune +45 other locations,3.4k,29.3k,5,234,8
Dabur,3.9,FMCG,New Delhi +305 other locations,3.4k,8.4k,28,275,5
Abbott,4.1,Pharma,Mumbai +200 other locations,3.4k,11.5k,326,361,8
Kogta Financial India Limited,4.7,NBFC,Jaipur +243 other locations,3.4k,1.7k,89,31,34
Bharat Electronics,4.2,Electronics Manufacturing,Bangalore / Bengaluru +81 other locations,3.4k,12k,--,312,1
PNB MetLife,3.4,Insurance,New Delhi +398 other locations,3.4k,8k,11,215,17
Cogent E Services,3.2,BPO,Noida +52 other locations,3.4k,9.9k,2,220,13
Kyndryl,3.9,IT Services & Consulting,Bangalore / Bengaluru +33 other locations,3.4k,24.7k,135,163,55
Aditya Birla Sun Life Insurance,4.0,Insurance,Mumbai +460 other locations,3.4k,9.9k,--,214,23
Grasim Industries,4.0,Building Material,Bharuch +220 other locations,3.3k,11.8k,--,267,6
Aarti Industries,4.1,Agro Chemicals,Bharuch +56 other locations,3.3k,13.8k,2,351,6
Glenmark Pharmaceuticals,3.8,Pharma,Mumbai +167 other locations,3.3k,11.6k,57,317,1
Indian Oil Corporation,4.4,Oil & Gas,New Delhi +296 other locations,3.3k,7.5k,--,290,31
Kotak Mahindara Life Insurance,3.6,Insurance,Mumbai +241 other locations,3.3k,12.4k,6.2k,256,1
KPIT Technologies,3.1,Software Product,Pune +41 other locations,3.3k,22k,45,289,17
JK Cement,4.0,Building Material,New Delhi +307 other locations,3.3k,9.4k,3,257,27
Reliance Projects & Property Management Services,4.0,IT Services & Consulting,Kolkata +591 other locations,3.3k,7.1k,--,20,5
"NTT DATA, Inc.",4.0,IT Services & Consulting,Bangalore / Bengaluru +31 other locations,3.3k,21.3k,818,623,7
Ipca Laboratories,3.9,Pharma,Mumbai +152 other locations,3.3k,11.3k,60,245,3
Tata Capital,4.0,NBFC,Mumbai +314 other locations,3.3k,10.8k,2.1k,107,23
Johnson Controls,3.5,Industrial Automation,Pune +53 other locations,3.3k,16.6k,140,266,28
MRF Tyres,3.6,Auto Components,Chennai +186 other locations,3.2k,12.1k,18,345,8
Ford Motor,4.2,Automobile,Chennai +127 other locations,3.2k,14.7k,1,397,12
Alkem Laboratories,3.9,Pharma,Mumbai +187 other locations,3.2k,9.5k,30,328,2
UBS,3.9,Financial Services,Pune +19 other locations,3.2k,30.5k,--,117,11
IGT Solutions,3.3,IT Services & Consulting,New Delhi +48 other locations,3.2k,13.2k,82,213,14
24/7 Customer,3.5,Software Product,Bangalore / Bengaluru +35 other locations,3.2k,11.5k,55,406,10
Vishal Mega Mart,3.7,Retail,New Delhi +359 other locations,3.2k,6.3k,1,272,11
Honda Motorcycle & Scooter,4.1,Automobile,Gurgaon / Gurugram +281 other locations,3.2k,10.7k,--,348,4
Reliance Digital,4.1,Retail,Mumbai +359 other locations,3.2k,7.9k,--,241,25
Hindustan Coca Cola Beverages,4.0,Beverage,Bangalore / Bengaluru +249 other locations,3.1k,7.3k,46,377,1
HARMAN,3.7,Consumer Electronics & Appliances,Bangalore / Bengaluru +38 other locations,3.1k,23.7k,290,100,3
Reliance Nippon Life Insurance,3.4,Insurance,Mumbai +470 other locations,3.1k,8.2k,12,229,12
NatWest Group,4.0,Banking,Gurgaon / Gurugram +25 other locations,3.1k,20k,--,362,9
Indian Air Force,4.6,Defence & Aerospace,New Delhi +130 other locations,3.1k,5k,--,354,--
Ceat Tyres,3.9,Auto Components,Nagpur +133 other locations,3.1k,12.5k,6,346,6
ABB,4.1,Industrial Machinery,Bangalore / Bengaluru +105 other locations,3.1k,16.7k,405,346,5
Marpu Foundation,4.8,Non-Profit,Hyderabad / Secunderabad +57 other locations,3.1k,55,--,7,3
DTDC Express,3.7,Logistics,New Delhi +258 other locations,3.1k,8.4k,13,263,2
ArcelorMittal Nippon Steel,4.1,Iron & Steel,Surat +80 other locations,3.1k,11k,4,110,5
Future Group,4.3,Retail,Mumbai +205 other locations,3k,6.9k,--,423,3
InterGlobe Aviation,3.5,Aviation,New Delhi +99 other locations,3k,13.3k,48,314,5
Conduent,3.4,BPO,Bangalore / Bengaluru +34 other locations,3k,16.6k,499,365,11
RSPL Group,4.0,FMCG,Kanpur +237 other locations,3k,9.2k,30,292,7
Barclays,3.7,Banking,Pune +36 other locations,3k,28.8k,--,253,27
UNO Minda,3.9,Auto Components,Pune +100 other locations,3k,10.4k,7,262,5
GeBBS Healthcare Solutions,3.7,Healthcare,Mumbai +24 other locations,3k,11.3k,67,290,11
Tata Technologies,3.5,Engineering & Construction,Pune +52 other locations,3k,21.7k,114,308,14
Alstom Transportation,3.7,Engineering & Construction,Bangalore / Bengaluru +74 other locations,3k,14k,330,173,8
AGS Health,4.0,IT Services & Consulting,Chennai +58 other locations,3k,13.6k,35,272,--
Tata AIG,4.1,Insurance,Mumbai +252 other locations,2.9k,11.1k,127,245,6
PhonePe,4.0,FinTech,Bangalore / Bengaluru +341 other locations,2.9k,12.1k,22,183,6
Max Healthcare,3.9,Healthcare,New Delhi +74 other locations,2.9k,10k,134,275,26
Cloudnine Hospital,4.5,Healthcare,Bangalore / Bengaluru +41 other locations,2.9k,2.6k,--,77,5
Amazon Transportation Services,4.1,Hyderabad / Secunderabad +218 other locations,,2.9k,8.1k,--,245,18
UPL,4.1,Agro Chemicals,Ankleshwar +181 other locations,2.9k,10.8k,48,293,2
Walmart,3.5,Retail,Bangalore / Bengaluru +90 other locations,2.9k,20.5k,178,319,12
S&P Global,4.0,Analytics & KPO,Hyderabad / Secunderabad +45 other locations,2.9k,19.5k,496,211,--
PepsiCo,4.0,Food Processing,Hyderabad / Secunderabad +262 other locations,2.9k,12.3k,327,244,17
TVS Credit Services Ltd,4.2,NBFC,Chennai +403 other locations,2.9k,6.9k,45,195,3
Dilip Buildcon,3.9,Engineering & Construction,Bhopal +217 other locations,2.9k,8.1k,20,296,21
Croma,3.9,Retail,Mumbai +179 other locations,2.9k,8.5k,21,185,8
Titan Company,4.2,Retail,Bangalore / Bengaluru +175 other locations,2.9k,9.2k,114,339,15
Varroc Group,3.6,Auto Components,Pune +59 other locations,2.9k,9.2k,45,230,5
